column,selected,seen,scheme_name,label_key,value,concept_uri,pref_label,broader_uri,depth,n_children,is_leaf
k_health-outcomes_sub_b_sub_d|7,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,7,https://vocab.destiny-evidence.org/health-outcomes/DSNY000432,Idiopathic developmental intellectual disability,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_d|8,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,8,https://vocab.destiny-evidence.org/health-outcomes/DSNY000433,Post-traumatic stress disorder (PTSD),https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_d|9,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,9,https://vocab.destiny-evidence.org/health-outcomes/DSNY000424,Schizophrenia,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_d|10,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,10,https://vocab.destiny-evidence.org/health-outcomes/DSNY000434,Z_Other mental disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_e|0,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_e,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000380,Malignant skin melanoma,https://vocab.destiny-evidence.org/health-outcomes/DSNY000378,3,0,True
k_health-outcomes_sub_b_sub_e|1,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_e,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000381,Non-melanoma skin cancer,https://vocab.destiny-evidence.org/health-outcomes/DSNY000378,3,0,True
k_health-outcomes_sub_b_sub_e|2,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_e,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000379,"Tracheal, bronchus, and lung cancer",https://vocab.destiny-evidence.org/health-outcomes/DSNY000378,3,0,True
k_health-outcomes_sub_b_sub_e|3,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_e,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000382,Z_Other malignant neoplasms,https://vocab.destiny-evidence.org/health-outcomes/DSNY000378,3,0,True
k_health-outcomes_sub_b_sub_e|4,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_e,4,https://vocab.destiny-evidence.org/health-outcomes/DSNY000383,Z_Other neoplasms,https://vocab.destiny-evidence.org/health-outcomes/DSNY000378,3,0,True
k_health-outcomes_sub_b_sub_f|0,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_f,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000416,Alzheimer's disease and other dementias,https://vocab.destiny-evidence.org/health-outcomes/DSNY000415,3,0,True
k_health-outcomes_sub_b_sub_b|0,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_b,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000443,Acute glomerulonephritis,https://vocab.destiny-evidence.org/health-outcomes/DSNY000438,3,0,True
k_health-outcomes_sub_b_sub_b|1,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_b,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000439,Diabetes mellitus,https://vocab.destiny-evidence.org/health-outcomes/DSNY000438,3,0,True
k_health-outcomes_sub_b_sub_b|2,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_b,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000440,Kidney dysfunction,https://vocab.destiny-evidence.org/health-outcomes/DSNY000438,3,2,False
k_health-outcomes_sub_sub_a|3,0,0,Health - Outcomes,k_health-outcomes_sub_sub_a,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000303,"Injury-related mortality (drowning, fires, disasters, suicide, violence)",https://vocab.destiny-evidence.org/health-outcomes/DSNY000298,3,0,True
k_health-outcomes_sub_sub_a|4,0,0,Health - Outcomes,k_health-outcomes_sub_sub_a,4,https://vocab.destiny-evidence.org/health-outcomes/DSNY000300,Neoplasms mortality,https://vocab.destiny-evidence.org/health-outcomes/DSNY000298,3,0,True
k_health-outcomes_sub_sub_a|5,0,0,Health - Outcomes,k_health-outcomes_sub_sub_a,5,https://vocab.destiny-evidence.org/health-outcomes/DSNY000304,Other non-communicable diseases mortality,https://vocab.destiny-evidence.org/health-outcomes/DSNY000298,3,0,True
k_health-outcomes_sub_a|0,0,2,Health - Outcomes,k_health-outcomes_sub_a,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000324,Enteric infections,https://vocab.destiny-evidence.org/health-outcomes/DSNY000314,2,4,False
k_health-outcomes_sub_a|1,0,2,Health - Outcomes,k_health-outcomes_sub_a,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000315,HIV/AIDS and sexually transmitted infections,https://vocab.destiny-evidence.org/health-outcomes/DSNY000314,2,2,False
k_health-outcomes_sub_a|2,0,2,Health - Outcomes,k_health-outcomes_sub_a,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000364,Maternal and neonatal disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000314,2,2,False
k_health-outcomes_sub_a|3,0,2,Health - Outcomes,k_health-outcomes_sub_a,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000330,Neglected tropical diseases and malaria,https://vocab.destiny-evidence.org/health-outcomes/DSNY000314,2,22,False
