prompt,output_data_type,attribute_id,attribute_label,concept_id
Adult population; Adulthood; Adults; Grown-ups; Working-age adults,bool,445,5. Adult,DSNY000255
Early childhood; Preschool children; Toddlers; Under 5s; Young children,bool,447,3.1. Preschool child (2-5 years),DSNY000252
65 to 78 year olds; Early older age; Older adult; Senior (younger cohort); Young old; Younger elderly,bool,452,Aged (65-78 years),DSNY000259
Across the life course; All age groups; Any age; Lifespan; Total population; Unspecified age,bool,441,1. All ages,DSNY000248
Child age group; Children; Kids; Paediatric; School-age children,bool,443,3. Child (2-12 years),DSNY000251
First 28 days; Neonatal period; Neonate; Newborn; Newborn baby,bool,446,Newborn infant,DSNY000250
Alpine tundra; Arctic tundra; High-latitude tundra; Permafrost landscape; Polar desert,bool,65,Tundra,DSNY000494
Coral ecosystem; Marine reef; Reef ecosystem; Tropical reef,bool,50,Coral reef,DSNY000497
Meadow; Prairie; Savanna,bool,63,Tropical grassland / savanna,DSNY000145
Mediterranean scrubland,bool,57,Mediterranean / chaparral,DSNY000662
Floodplain valley; Lowland valley; River valley,bool,66,Valley,DSNY000151
Alluvial plain; Deltaic region; Flood zone; Flood-prone lowland; Floodplain; River delta,bool,51,Delta / floodplain,DSNY000501
Bog; Fen; Marsh; Mire; Peat bog; Swamp; Wetlands,bool,67,Wetland / peatland,DSNY000154
Coastal mangrove; Intertidal forest; Mangrove forest; Mangrove swamp; Mangrove wetland,bool,56,Mangrove,DSNY000502
Marine ecosystems; Pelagic zone; Saltwater biome,bool,59,Ocean / marine,DSNY000148
Coast; Coastal zone; Littoral zone; Shoreline,bool,49,Coastal,DSNY000664
Alpine; Highland; Montane ecosystem; Upland,bool,58,Mountain (alpine),DSNY000147
Pampas; Prairies; Steppes; Veld,bool,62,Temperate grassland,DSNY000661
Floodbank; Riparian zone; Riverbank; Riverine habitat; Streamside habitat,bool,60,Riparian,DSNY000498
Boreal forest; Temperate forest; Woodland,bool,61,Temperate forest,DSNY000143
Agricultural area; Agricultural land; Agroecosystem; Arable land; Cropland; Pasture,bool,53,Farmland,DSNY000495
Freshwater ecosystems; Inland water bodies; Lakes; Limnetic zone; Rivers; Streams,bool,54,"Freshwater (rivers, lakes)",DSNY000663
Amazon; Jungle; Rainforest,bool,64,Tropical rainforest,DSNY000660
Archipelago; Insular biome; Island state; Small island,bool,55,Island,DSNY000146
Arid landscape; Arid region; Arid zone; Dryland,bool,52,Desert (arid/semi-arid),DSNY000142
Boreal forest; Coniferous forest; Northern forest; Snow forest; Subarctic forest; Taiga,bool,48,Boreal forest / taiga,DSNY000496
Attack rate; Case rate; Cumulative incidence; Disease incidence; Incidence rate; New case rate; New cases,bool,102,Incidence (Metric),DSNY000282
Excess death rate; Excess deaths; Excess mortality rate; Mortality displacement; Overall mortality burden,bool,95,Excess mortality (Metric),DSNY000277
Burden of disease; Composite burden measure; DALY; DALYs; Disability-adjusted life year,bool,101,Disability-adjusted life years (DALY) (Metric),DSNY000285
Bed days; Hospital length of stay; Inpatient duration; LOS,bool,110,Length of hospital stay (Metric),DSNY000292
A&E attendance; Accident and emergency; ED visit; Emergency care attendance; Emergency care utilization; Emergency visit; Unscheduled care visit,bool,107,Emergency department visit (Metric),DSNY000289
Disease burden metrics; Morbidity metrics; Quality of life measures,bool,90,Disease burden / quality of life (Metric),DSNY000281
Exposure assessment; Exposure measurement; Risk quantification,bool,91,Exposure quantification (Metric),DSNY000293
Attributable burden; Attributable risk; Excess fraction; PAF; Population attributable fraction,bool,105,Attributable fraction / risk (Metric),DSNY000294
Ambulatory care visit; Clinic visit; GP visit; Outpatient attendance; Outpatient visit; Primary care utilization; Primary care visit,bool,111,Outpatient / primary care visit (Metric),DSNY000290
PYLL; Premature mortality; Years of potential life lost,bool,98,Potential years of life lost (PYLL) (Metric),DSNY000631
Disability years; Non-fatal disease burden; YLD; Years with disability,bool,104,Years lived with disability (Metric),DSNY000284
All-cause death rate; Crude mortality rate; General mortality; Overall mortality; Total mortality,bool,93,All-cause mortality (Metric),DSNY000275
Functional health status; HRQoL; Health status; PROs; Patient-reported outcomes; QoL; Quality of life; Wellbeing,bool,100,(Health-related) quality of life (HrQoL/QoL) (Metric),DSNY000286
Hospital stay; Hospitalisation; Inpatient admission; Inpatient care,bool,109,Hospital admission (Metric),DSNY000288
Effect measure; HR; Hazard ratio; OR; Odds ratio; RR; Relative risk; Risk ratio,bool,106,Relative risk / odds ratio (Metric),DSNY000295
Attributable mortality; Cause-specific death rate; Condition-specific mortality; Disease-specific mortality,bool,94,Cause-specific mortality (Metric),DSNY000276
Life years lost; YLL,bool,99,Years of life lost (YLL) (Metric),DSNY000278
Access barriers; Access disruption; Health system disruption; Healthcare disruption; Service disruption,bool,108,Healthcare access disruption (Metric),DSNY000291
Death outcomes; Fatal outcomes; Fatality; Mortality; Mortality outcomes,bool,89,Death (Metric),DSNY000274
MMR; Maternal death rate; Maternal mortality ratio; Pregnancy-associated mortality; Pregnancy-related death,bool,97,Maternal mortality (Metric),DSNY000280
Case burden; Disease frequency; Disease prevalence; Period prevalence; Point prevalence; Prevalence rate,bool,103,Prevalence (Metric),DSNY000283
Child mortality; Child mortality rate; Infant mortality rate; Neonatal mortality rate; Pediatric mortality; Perinatal mortality; Under-5 mortality,bool,96,Infant / child mortality (Metric),DSNY000279
Health service use; Health services utilisation; Healthcare use; Medical care use,bool,92,Healthcare utilisation (Metric),DSNY000287
Clinical guideline; Clinical practice guideline (CPG); Evidence-based guideline; Health guideline; Public health guideline,bool,426,Guideline (clinical or public health),DSNY000207
Case report; Case study; Clinical case report; Single case report,bool,409,Case report / case study,DSNY000516
Observational single-group study; Single-group observational study; Uncontrolled observational design,bool,395,Observational / single-group designs,DSNY000519
DD estimator; DiD; Diff-in-diff; Difference-in-difference; Event study,bool,403,Difference-in-differences / event study,DSNY000533
Before-after study; Pre-post comparison; Pre-post design; Pre-post study,bool,421,Before-after / pre-post study,DSNY000520
Realist evaluation review; Realist synthesis; Theory-driven review,bool,437,Realist review,DSNY000553
Case series; Descriptive multi-case study; Patient series,bool,410,Case series / descriptive multi-case study,DSNY000518
Climate simulation; Downscaled climate model; Environmental modelling; Other climate modelling,bool,415,Other climate-related modelling / simulation,DSNY000549
Other design; Other primary study design; Unclassified study design,bool,397,Z_Other study design,DSNY000551
Agent-based microsimulation; Individual-level simulation; Micro-level simulation,bool,414,Microsimulation,DSNY000548
IV analysis; IV estimation; IV method; IV regression; Instrumental variable analysis; Two-stage least squares,bool,405,Instrumental variables,DSNY000534
CGE; CGE model; Economy-wide model; General equilibrium model,bool,412,Computable general equilibrium (CGE) model,DSNY000547
Adjusted cohort analysis; Fixed effects model; Panel data regression; Panel regression; Two-way fixed effects; Within-estimator,bool,404,Fixed effects / panel regression,DSNY000538
Evidence gap map; Evidence map; Gap map,bool,432,Evidence map / evidence gap map,DSNY000205
Meta-analysis without systematic review,bool,428,Meta-analysis (unsystematic),DSNY000637
Accelerated review; Fast-track review,bool,436,Rapid review,DSNY000203
RD design; RDD; Regression discontinuity design,bool,406,Regression discontinuity,DSNY000535
Comprehensive systematic review; Full systematic review,bool,439,Systematic review,DSNY000202
SCM; Synthetic comparison group; Synthetic control method,bool,407,Synthetic control,DSNY000536
Evidence map; Scoping study; Systematic map,bool,438,Scoping review,DSNY000204
Computational modelling; Mathematical modelling; Modelling study; Simulation study,bool,393,Modelling / simulation,DSNY000545
Single-arm experimental design; Uncontrolled experimental design,bool,390,(Quasi-)Experimental / single-group designs,DSNY000527
ITS (uncontrolled); Single-group ITS; Single-group interrupted time series; Uncontrolled ITS,bool,422,Interrupted time series (uncontrolled),DSNY000521
Cohort study; Longitudinal study; Panel study; Prospective cohort; Retrospective cohort,bool,418,Cohort / panel data / longitudinal study,DSNY000524
Mixed-methods design; Qualitative design; Qualitative research; Qualitative study,bool,396,Qualitative designs,DSNY000541
Ethnographic methods; Ethnography; Fieldwork; Participant observation,bool,423,Ethnographic,DSNY000665
Cluster RCT; Crossover RCT; Field experiment; Parallel RCT; RCT; Randomised controlled trial; Randomised trial,bool,398,1. Randomised (RCT),DSNY000530
CBA; Controlled before-and-after study; Controlled pre-post study; Non-randomised controlled before-after,bool,419,Controlled before-after (CBA),DSNY000525
Literature review; Non-systematic review; Review; Traditional review,bool,429,Narrative review,DSNY000206
Controlled ITS; Controlled interrupted time series; ITS (controlled),bool,420,Interrupted time series (controlled),DSNY000526
In-depth interviews; Interview-based study; Qualitative interviews; Semi-structured interviews; Structured interviews; Unstructured interviews,bool,425,Interviews,DSNY000542
